loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
2700,450.0,777.5,1,1,0,21,0,1,3,0,0,4,11,5,7,5,36,4,7,2,2,2,2,2,2,7,1,2,1,0,1,0,0,0,0,0,0,0
2750,458.33,766.9,1,1,0,19,0,1,1,0,0,4,11,5,7,5,37,4,8,2,2,2,2,1,1,6,1,3,1,0,0,0,0,0,0,0,0,0
2800,466.67,766.9,1,1,0,19,0,1,1,0,0,4,11,5,7,5,37,4,8,2,2,2,2,1,1,6,1,3,1,0,0,0,0,0,0,0,0,0
2850,475.0,774.4,1,1,0,20,0,1,2,0,0,4,11,6,7,5,37,4,8,2,2,2,3,1,1,6,1,3,1,0,0,0,0,0,0,0,0,0
2900,483.33,775.0,1,1,0,20,0,1,1,0,0,4,11,6,7,5,37,4,8,2,2,2,3,1,1,6,1,3,1,0,0,0,0,0,0,0,0,0
2950,491.67,777.4,1,1,0,25,0,1,5,0,0,4,11,6,7,6,37,5,11,3,2,2,2,1,2,6,2,6,2,0,0,0,0,0,0,0,0,0
3000,500.0,802.0,1,1,0,21,0,1,1,0,0,4,11,6,7,6,37,5,11,3,2,2,2,1,2,6,1,4,1,0,0,0,0,0,0,0,0,0
3050,508.33,769.1,1,1,0,20,0,1,0,0,0,4,11,6,7,6,37,5,11,3,2,2,2,1,2,6,1,4,1,0,0,0,0,0,0,0,0,0
3100,516.67,777.8,1,1,0,20,0,1,0,0,0,4,11,7,7,6,37,5,11,3,2,2,2,1,2,6,1,4,1,0,0,0,0,0,0,0,0,0
3150,525.0,781.2,1,1,0,20,0,1,1,0,0,4,11,7,7,6,37,5,11,3,2,2,2,1,2,6,1,4,1,0,0,0,0,0,0,0,0,0
3200,533.33,777.1,1,1,0,21,0,1,2,0,0,4,11,7,7,6,38,5,13,3,2,2,2,1,2,7,1,4,1,0,0,0,0,0,0,0,0,0
3250,541.67,781.4,1,1,0,21,0,1,2,0,0,4,11,7,7,7,39,5,13,3,2,2,2,1,3,7,1,3,1,0,0,0,0,0,0,0,0,0
3300,550.0,780.5,1,1,0,23,0,1,3,0,0,4,11,7,9,7,40,5,13,3,2,2,2,3,2,8,1,3,1,0,0,0,0,0,0,0,0,0
3350,558.33,778.8,1,1,0,20,0,1,0,0,0,4,11,7,9,7,40,5,13,3,2,2,2,2,2,6,1,3,1,0,0,0,0,0,0,0,0,1
3400,566.67,778.0,1,1,0,21,0,1,1,0,0,4,11,7,9,8,40,5,13,3,2,2,2,2,3,6,1,3,1,0,0,0,0,0,0,0,0,0
3450,575.0,780.7,1,1,0,22,0,1,1,0,0,4,11,7,9,10,40,5,13,3,2,2,2,2,4,6,1,3,1,0,0,0,0,0,0,0,0,0
3500,583.33,775.8,1,1,0,21,0,1,0,0,0,4,11,7,9,10,40,5,13,3,2,2,2,2,3,6,1,3,1,0,0,0,0,0,0,0,0,0
3550,591.67,770.4,1,1,0,23,0,1,1,0,0,4,11,7,10,11,40,5,13,3,2,2,2,3,4,6,1,3,1,0,0,0,0,0,0,0,0,0
3600,600.0,756.8,1,1,0,23,0,1,1,0,0,4,11,7,11,11,40,5,13,3,2,2,2,4,3,6,1,3,1,0,0,0,0,0,0,0,0,0
3650,608.33,766.9,1,1,0,22,0,1,0,0,0,4,11,7,11,11,40,5,13,3,2,2,2,3,3,6,1,3,1,0,0,0,0,0,0,0,0,0
3700,616.67,765.9,1,1,0,24,0,1,2,0,0,4,11,7,11,12,40,5,14,3,2,2,2,3,4,6,1,4,1,0,0,0,0,0,0,0,0,0
3750,625.0,767.1,1,1,0,24,0,1,1,0,0,4,12,7,11,12,40,5,14,3,2,3,2,3,3,6,1,4,1,0,0,0,0,0,0,0,0,0
3800,633.33,718.4,1,1,0,25,0,1,2,0,0,4,12,7,11,12,41,5,14,3,2,3,2,3,3,7,1,4,1,0,0,0,0,0,1,0,0,0
3850,641.67,723.2,1,1,0,24,0,1,1,0,0,4,12,7,11,12,41,5,14,3,2,3,2,3,3,6,1,4,1,0,0,0,0,0,0,0,0,0
3900,650.0,729.9,1,1,0,26,0,1,3,0,0,4,12,7,11,12,44,6,14,3,2,3,2,3,3,7,2,4,1,0,0,0,0,0,0,0,0,0
