bound_rate,c0,c_star,cameras,chef_switch_rate,chef_switches,chef_switches_interleaved,clip_id,duration_s,exclusive,first_bound_fid,frac_iou_ge_075,gap_band,gaps_s,ghost_box_rate,ghost_track_rate,gt_id,handoff_type,l2_detail_k1,l2_detail_k5,l2_n_pairs_dropped_k1,l2_n_pairs_dropped_k5,l2_n_pairs_k1,l2_n_pairs_k5,l2_p_reacquire_ci_k1,l2_p_reacquire_ci_k5,l2_p_reacquire_k1,l2_p_reacquire_k5,l3_chef_per_camera,l3_n_camera_pairs,l3_n_chef_ids_per_camera,l3_n_pairs_dropped,l3_n_pairs_usable,l3_n_simul_frames,l3_p_handoff,l3_p_handoff_ci,l3_p_simul_agree,l3_p_simul_agree_ci,level,majority_tie,mean_iou,mean_iou_matched,median_iou,n_B,n_boxes,n_chefs_created_before_target_bound,n_distinct_chef_ids,n_ghost_boxes,n_ghost_tracks,n_matched,n_other_ids,n_sampled_cells,n_target_cells,n_track_ids,n_tracks_in_window,p10_iou,p90_iou,p_chef_shared_with_other_box,p_continuity,p_continuity_ci,p_exclusive,p_exclusive_ci,p_majority,p_majority_ci,recall_ci,recall_target,rule,seq,stride,track_switch_rate,track_switches,visibility
0.9825,1,1,camera_3,0.0214,12,12,L1-seq_024-c3-7-015855,19.0,True,15855,0.9282,,,0.4796,0.8,7,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8343,0.8492,0.8571,561,1078,0,5,517,8,561,0,571,571,5,10,0.7658,0.9216,0.0,0.943,"(0.9206, 0.9593)",,"(None, None)",0.943,"(0.9206, 0.9593)","(0.9681, 0.9905)",0.9825,L1,seq_024,1,0.0214,12,1.0
1.0,1,1,camera_3,0.0238,2,2,L1-seq_025-c3-7-002520,14.0,True,2520,0.9647,,,0.5,0.5,7,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9179,0.9179,0.9391,85,170,0,2,85,2,85,0,85,85,2,4,0.841,0.9684,0.0,0.9647,"(0.9013, 0.9879)",,"(None, None)",0.9647,"(0.9013, 0.9879)","(0.9568, 1.0)",1.0,L1,seq_025,5,0.0238,2,1.0
1.0,1,5,camera_3,0.0167,7,7,L1-seq_025-c3-7-002520,14.0,True,2520,0.9311,,,0.5155,0.6,7,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9182,0.9182,0.9441,421,869,0,3,448,3,421,0,421,421,3,5,0.8325,0.9705,0.0,0.4537,"(0.4068, 0.5014)",,"(None, None)",0.5439,"(0.4962, 0.5909)","(0.991, 1.0)",1.0,L1,seq_025,1,0.0167,7,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_002-c4-8-001820,10.0,True,1820,0.0,,,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,L1,False,0.6511,0.6511,0.6505,61,61,0,1,0,0,61,0,61,61,1,1,0.6425,0.6591,0.0,1.0,"(0.9408, 1.0)",,"(None, None)",1.0,"(0.9408, 1.0)","(0.9408, 1.0)",1.0,L1,seq_002,5,0.0,0,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_002-c4-8-001820,10.0,True,1820,0.0,,,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,L1,False,0.6512,0.6512,0.6503,301,301,0,1,0,0,301,0,301,301,1,1,0.6427,0.6602,0.0,1.0,"(0.9874, 1.0)",,"(None, None)",1.0,"(0.9874, 1.0)","(0.9874, 1.0)",1.0,L1,seq_002,1,0.0,0,1.0
1.0,1,1,camera_7,0.0,0,0,L1-seq_004-c7-8-008115,13.0,True,8115,0.9873,,,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9408,0.9408,0.954,79,79,0,1,0,0,79,0,79,79,1,1,0.8963,0.9758,0.0,1.0,"(0.9536, 1.0)",,"(None, None)",1.0,"(0.9536, 1.0)","(0.9536, 1.0)",1.0,L1,seq_004,5,0.0,0,1.0
1.0,1,1,camera_7,0.0,0,0,L1-seq_004-c7-8-008115,13.0,True,8115,0.9795,,,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,L1,False,0.94,0.94,0.9545,391,391,0,1,0,0,391,0,391,391,1,1,0.9023,0.9787,0.0,1.0,"(0.9903, 1.0)",,"(None, None)",1.0,"(0.9903, 1.0)","(0.9903, 1.0)",1.0,L1,seq_004,1,0.0,0,1.0
0.9872,1,1,camera_7,0.0,0,0,L1-seq_026-c7-9-002475,12.833,True,2475,0.859,,,0.0128,0.0,9,,,,,,,,,,,,,,,,,,,,,,L1,False,0.858,0.8692,0.8999,77,78,0,1,1,0,77,0,78,78,1,1,0.7327,0.9605,0.0,1.0,"(0.9525, 1.0)",,"(None, None)",1.0,"(0.9525, 1.0)","(0.9309, 0.9977)",0.9872,L1,seq_026,5,0.0,0,1.0
0.9922,1,1,camera_7,0.0026,1,1,L1-seq_026-c7-9-002475,12.833,True,2475,0.8549,,,0.023,0.0,9,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8612,0.868,0.9046,383,392,0,2,9,0,383,0,386,386,2,2,0.7278,0.9608,0.0,0.6997,"(0.652, 0.7435)",,"(None, None)",0.6997,"(0.652, 0.7435)","(0.9774, 0.9974)",0.9922,L1,seq_026,1,0.0026,1,1.0
1.0,1,1,camera_7,0.0,0,0,L1-seq_020-c7-9-013530,12.333,True,13530,1.0,,,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9249,0.9249,0.9328,75,75,0,1,0,0,75,0,75,75,1,1,0.8921,0.9524,0.0,1.0,"(0.9513, 1.0)",,"(None, None)",1.0,"(0.9513, 1.0)","(0.9513, 1.0)",1.0,L1,seq_020,5,0.0,0,1.0
