clip_id,rule,stride,ttl,tracker,returncode,wall_s,git_sha,argv
L1-seq_024-c3-7-015855,L1,1,600,configs/tracker_rf_cbiou.yaml,0,3.17,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_3_2023-12-01-11_05_52.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 15855 --end-fid 16425 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L1-seq_024-c3-7-015855 --out results/clips/runs/L1-seq_024-c3-7-015855/s1/chef_events.jsonl
L1-seq_025-c3-7-002520,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.57,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_025/camera_3_2023-12-04-12_11_17.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 2520 --end-fid 2940 --det-cache results/det_cache/coco_nano/seq_025 --clip-id L1-seq_025-c3-7-002520 --out results/clips/runs/L1-seq_025-c3-7-002520/s5/chef_events.jsonl
L1-seq_025-c3-7-002520,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.64,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_025/camera_3_2023-12-04-12_11_17.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 2520 --end-fid 2940 --det-cache results/det_cache/coco_nano/seq_025 --clip-id L1-seq_025-c3-7-002520 --out results/clips/runs/L1-seq_025-c3-7-002520/s1/chef_events.jsonl
L1-seq_002-c4-8-001820,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.37,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_002/camera_4_2023-06-02-12_09_07.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 1820 --end-fid 2120 --det-cache results/det_cache/coco_nano/seq_002 --clip-id L1-seq_002-c4-8-001820 --out results/clips/runs/L1-seq_002-c4-8-001820/s5/chef_events.jsonl
L1-seq_002-c4-8-001820,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.35,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_002/camera_4_2023-06-02-12_09_07.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 1820 --end-fid 2120 --det-cache results/det_cache/coco_nano/seq_002 --clip-id L1-seq_002-c4-8-001820 --out results/clips/runs/L1-seq_002-c4-8-001820/s1/chef_events.jsonl
L1-seq_004-c7-8-008115,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.95,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_7_2023-06-08-12_29_08.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 8115 --end-fid 8505 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L1-seq_004-c7-8-008115 --out results/clips/runs/L1-seq_004-c7-8-008115/s5/chef_events.jsonl
L1-seq_004-c7-8-008115,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.99,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_7_2023-06-08-12_29_08.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 8115 --end-fid 8505 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L1-seq_004-c7-8-008115 --out results/clips/runs/L1-seq_004-c7-8-008115/s1/chef_events.jsonl
L1-seq_026-c7-9-002475,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.49,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_026/camera_7_2023-12-05-12_12_13.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 2475 --end-fid 2860 --det-cache results/det_cache/coco_nano/seq_026 --clip-id L1-seq_026-c7-9-002475 --out results/clips/runs/L1-seq_026-c7-9-002475/s5/chef_events.jsonl
L1-seq_026-c7-9-002475,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.52,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_026/camera_7_2023-12-05-12_12_13.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 2475 --end-fid 2860 --det-cache results/det_cache/coco_nano/seq_026 --clip-id L1-seq_026-c7-9-002475 --out results/clips/runs/L1-seq_026-c7-9-002475/s1/chef_events.jsonl
L1-seq_020-c7-9-013530,L1,5,600,configs/tracker_rf_cbiou.yaml,0,2.46,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_020/camera_7_2023-07-26-13_21_40.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 13530 --end-fid 13900 --det-cache results/det_cache/coco_nano/seq_020 --clip-id L1-seq_020-c7-9-013530 --out results/clips/runs/L1-seq_020-c7-9-013530/s5/chef_events.jsonl
