loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
2200,366.67,731.3,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2250,375.0,744.2,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2300,383.33,745.5,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2350,391.67,746.4,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2400,400.0,754.9,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2450,408.33,763.2,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2500,416.67,764.0,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2550,425.0,753.4,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2600,433.33,762.2,1,1,0,9,0,1,0,0,0,5,5,6,11,2,9,1,19,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2650,441.67,755.5,1,1,0,10,0,1,1,0,0,5,5,6,11,2,10,1,19,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
2700,450.0,753.9,1,1,0,13,0,1,3,0,0,5,5,6,11,2,11,1,21,5,1,1,1,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0
2750,458.33,765.9,1,1,0,10,0,1,1,0,0,5,5,6,11,2,11,1,23,5,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
2800,466.67,764.2,1,1,0,10,0,1,0,0,0,5,5,7,11,2,11,1,23,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2850,475.0,760.5,1,1,0,10,0,1,1,0,0,5,5,7,11,2,11,1,23,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2900,483.33,766.6,1,1,0,10,0,1,1,0,0,5,5,7,11,2,11,1,23,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2950,491.67,768.2,1,1,0,10,0,1,1,0,0,5,5,7,11,2,11,1,24,5,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
3000,500.0,773.0,1,1,0,10,0,1,1,0,0,5,5,8,11,2,11,1,24,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3050,508.33,762.4,1,1,0,10,0,1,1,0,0,5,5,8,11,2,11,1,24,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3100,516.67,769.4,1,1,0,10,0,1,1,0,0,5,5,8,11,2,11,1,24,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3150,525.0,769.9,1,1,0,10,0,1,1,0,0,5,5,8,11,2,11,1,24,5,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3200,533.33,746.1,1,1,0,11,0,1,2,0,0,5,5,8,11,3,13,1,24,5,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0
3250,541.67,770.4,1,1,0,11,0,1,2,0,0,5,5,8,11,3,15,1,24,5,1,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0
3300,550.0,768.7,1,1,0,9,0,1,0,0,0,5,5,8,11,3,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3350,558.33,771.1,1,1,0,9,0,1,0,0,0,5,5,8,11,3,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3400,566.67,769.8,1,1,0,9,0,1,0,0,0,5,5,8,11,3,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3450,575.0,763.8,1,1,0,10,0,1,0,0,0,5,5,8,12,3,15,1,24,5,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3500,583.33,770.9,1,1,0,9,0,1,0,0,0,5,5,8,12,3,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3550,591.67,769.7,1,1,0,9,0,1,0,0,0,5,5,8,12,3,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3600,600.0,772.1,1,1,0,9,0,1,0,0,0,5,5,8,12,3,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3650,608.33,763.6,1,1,0,10,0,1,1,0,0,5,5,8,12,4,15,1,24,5,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0
3700,616.67,775.2,1,1,0,9,0,1,0,0,0,5,5,8,12,4,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3750,625.0,775.5,1,1,0,9,0,1,0,0,0,5,5,8,12,4,15,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3800,633.33,775.7,1,1,0,10,0,1,1,0,0,5,5,8,12,4,16,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
3850,641.67,764.7,1,1,0,9,0,1,0,0,0,5,5,8,12,4,16,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3900,650.0,772.2,1,1,0,9,0,1,0,0,0,5,5,8,12,4,18,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3950,658.33,714.0,1,1,0,9,0,1,0,0,0,5,5,8,12,4,18,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4000,666.67,732.8,1,1,0,10,0,1,1,0,0,5,5,8,12,4,19,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4050,675.0,736.4,1,1,0,9,0,1,0,0,0,5,5,8,12,4,19,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4100,683.33,735.6,1,1,0,10,0,1,0,0,0,5,5,8,12,4,20,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4150,691.67,735.8,1,1,0,10,0,1,1,0,0,5,5,8,12,4,20,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4200,700.0,756.9,1,1,0,10,0,1,1,0,0,5,5,8,12,4,20,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4250,708.33,783.5,1,1,0,10,0,1,0,0,0,5,5,8,12,4,20,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4300,716.67,756.6,1,1,0,12,0,1,3,0,0,5,5,8,12,5,21,1,24,5,1,1,1,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0
4350,725.0,749.0,1,1,0,9,0,1,0,0,0,5,5,8,12,5,21,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4400,733.33,750.9,1,1,0,9,0,1,0,0,0,5,5,8,12,5,22,1,24,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4450,741.67,759.9,1,1,0,10,0,1,0,0,0,5,5,8,12,5,23,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4500,750.0,751.7,1,1,0,10,0,1,0,0,0,5,5,8,12,5,23,1,24,5,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
4550,758.33,763.5,1,1,0,11,0,1,3,0,0,5,5,8,12,5,24,1,24,5,1,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0
4600,766.67,752.5,1,1,0,11,0,1,1,0,0,5,5,8,12,5,25,1,24,5,1,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0
4650,775.0,762.2,1,1,0,11,0,1,2,0,0,5,5,8,12,7,26,1,24,5,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0
